;Wegvoertuigen per 1 januari|Totaal wegvoertuigen;Wegvoertuigen per 1 januari|Personenauto;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Totaal bedrijfsmotorvoertuigen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Bestelauto;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Vrachtauto (excl. trekker voor oplegger);Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Trekker voor oplegger;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Speciaal voertuig;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Bus;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Totaal aanhangwagens en opleggers;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Aanhangwagen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Oplegger;Wegvoertuigen per 1 januari|Motorfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Alle voertuigen met bromfietskenteken;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Snorfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Bromfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Brommobiel;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Overige voertuigen met bromfietskenteken
Born;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borne;17419;11811;3223;1239;1009;53;92;79;6;1984;1947;37;1064;1321;812;488;17;4
Borsele;22025;12973;5621;2737;2168;131;267;118;53;2884;2503;381;1422;2009;869;1091;39;10
Boskoop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boxmeer;24152;15806;5299;2285;1636;160;361;125;3;3014;2498;516;1378;1669;807;807;52;3
Boxtel;23582;14957;5091;2380;1808;136;229;198;9;2711;2317;394;1231;2303;1412;838;48;5
Breda;190752;149868;24186;15766;14093;402;795;460;16;8420;7332;1088;5842;10856;6003;4651;154;48
Brederwiede;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Breukelen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brielle;14515;9617;2557;1197;904;46;95;152;0;1360;1200;160;785;1556;812;719;16;9
Broekhuizen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bronckhorst;35425;21448;8702;3830;3153;145;336;195;1;4872;4560;312;2713;2562;1255;1271;26;10
Brummen;17192;11270;3624;1362;1114;62;112;73;1;2262;1856;406;1076;1222;652;547;16;7
Brunssum;21594;15387;2389;1158;976;49;36;88;9;1231;1173;58;1346;2472;1548;846;67;11
Bunnik;10649;7230;2050;919;767;35;42;62;13;1131;1079;52;533;836;409;405;16;6
Bunschoten;15624;9636;3550;1804;1417;196;121;70;0;1746;1563;183;555;1883;1429;424;20;10
Buren;26642;15720;7116;3360;2480;280;427;173;0;3756;3221;535;1498;2308;992;1235;61;20
Bussum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Capelle aan den IJssel;42532;31012;4857;2575;2346;103;52;72;2;2282;2203;79;1842;4821;3041;1704;57;19
Castricum;26350;17344;4901;2088;1505;121;339;123;0;2813;2240;573;1858;2247;1369;839;26;13
Coevorden;31642;19426;7411;2966;2495;120;185;165;1;4445;4054;391;2431;2374;1273;1042;47;12
Cranendonck;18606;11958;4030;1853;1566;98;91;97;1;2177;2024;153;1138;1480;916;521;35;8
Cromstrijen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuijk;20251;13397;4286;1991;1323;325;215;118;10;2295;1902;393;1053;1515;861;611;41;2
Culemborg;18682;13269;3099;1495;1145;170;118;59;3;1604;1467;137;960;1354;732;592;27;3
